不可重复,日语原文,中文翻译,使用声音文件,声音开始时间,声音结束时间
409,机に脚が引っ掛かって、部屋に入らない。,桌子脚卡住了.,res://assets/sounds/Chapter3_Section5.mp3,65.12,69.58
410,あんな話に引っ掛かってしまうなんて。,"上了那种话的当, 真是没想到.",res://assets/sounds/Chapter3_Section5.mp3,69.58,73.24
411,ベッドを持ち上げて、掃除機をかける。,把床抬起来吸尘。,res://assets/sounds/Chapter3_Section5.mp3,75.78,80.09
412,隣のアパートに引っ越したので、荷物は担いで運んだ。,搬到了隔壁的公寓，东西扛着搬过去。,res://assets/sounds/Chapter3_Section5.mp3,82.38,88.56
413,くたびれたので、少し休もう。,累坏了，休息一下吧。,res://assets/sounds/Chapter3_Section5.mp3,90.57,94.58
414,このコートは 10 年着たので、くたびれている。,这件大衣穿了 10 年了，已经穿旧了。,res://assets/sounds/Chapter3_Section5.mp3,94.58,99.25
415,家具のすき間にたまったほこりを掃く。,打扫家具缝隙里的灰尘。,res://assets/sounds/Chapter3_Section5.mp3,101.45,105.76
416,段ボールから中身を出して、引き出しに入れる。,把纸板箱里的东西拿出来放进抽屉里。,res://assets/sounds/Chapter3_Section5.mp3,107.88,112.95
417,さっさと荷物を片付けて、のんびりしたい。,想迅速地把东西整理一下然后好好休息。,res://assets/sounds/Chapter3_Section5.mp3,115.13,120.07
418,クローゼットに服をつるす。,把衣服挂进衣橱里。,res://assets/sounds/Chapter3_Section5.mp3,122.2,135.56
419,この部屋は駅が近いし家賃も安い。まさに理想的だ。,这个房子离车站又近房租也便宜，正是我要找的。,res://assets/sounds/Chapter3_Section5.mp3,127.91,135.39
420,まさに家を出ようとしていたとき、地震が起きた。,正当我要离开家的时候，突然地震了。,res://assets/sounds/Chapter3_Section5.mp3,135.39,140.62
421,今度の部屋は、とても居心地がいい。,这次住的房间非常舒适。,res://assets/sounds/Chapter3_Section5.mp3,143.02,147.44
422,日本で暮らし始めた日から、生活が一変した。,日本生活的第一天起一切都改变了。,res://assets/sounds/Chapter3_Section5.mp3,149.82,155.46
423,テレビのアンテナが古かったので、取り替えた。,电视机的天线很旧了，换了一下。,res://assets/sounds/Chapter3_Section5.mp3,157.63,162.19
424,彼女は好奇心旺盛で、いつもアンテナを張っている。,她的好奇心很旺盛，随时收集各种信息。,res://assets/sounds/Chapter3_Section5.mp3,162.19,167.74
425,また海に行ったの？ いっそ沖縄で暮らしたら？,又去了海边吗？干脆去冲绳生活怎么样？,res://assets/sounds/Chapter3_Section5.mp3,170.05,176
426,午後から街にショッピングに出かけた。,下午外出上街购物。,res://assets/sounds/Chapter4_Section1.mp3,1.64,6.1
427,この町は人口も増えて、立派な都市になった。,这个地方人口也与日俱增，变成了一座气派的城市。,res://assets/sounds/Chapter4_Section1.mp3,8.01,13.13
428,私は東京の下町で生まれた。,我出生在东京的平民区。,res://assets/sounds/Chapter4_Section1.mp3,15.41,19.37
429,東京は土地の値段がとても高い。,东京的地价很高。,res://assets/sounds/Chapter4_Section1.mp3,21.28,25.78
430,若者が多い町は活気がある。,年轻人多的地方很有活力。,res://assets/sounds/Chapter4_Section1.mp3,27.99,32.06
431,商店街は人通りが多くて、にぎやかだ。,商店街的人流量很大十分热闹。,res://assets/sounds/Chapter4_Section1.mp3,34.41,39.13
432,電車が出発すると、駅前の人通りが絶えた。,电车一发车，站前的人流就不见了。,res://assets/sounds/Chapter4_Section1.mp3,41.38,46.9
433,ここは坂の多い町として知られている。,这个地方因坡道很多而闻名。,res://assets/sounds/Chapter4_Section1.mp3,48.95,53.93
434,この辺りは公園が多く、散歩にぴったりだ。,这一带有很多公园，很适合散步。,res://assets/sounds/Chapter4_Section1.mp3,56.04,61.26
435,公園の付近に桜が咲いている。,公园附近盛开着樱花。,res://assets/sounds/Chapter4_Section1.mp3,63.23,67.43
436,この辺りは高級な住宅が多い。,这一带有很多高级住宅。,res://assets/sounds/Chapter4_Section1.mp3,69.64,73.94
437,ここは学校や幼稚園が多い地区だ。,这个地区有很多学校和幼儿园。,res://assets/sounds/Chapter4_Section1.mp3,76.07,80.87
438,公園の中に入ってはいけないエリアがある。,公园内有个禁止入内的区域。,res://assets/sounds/Chapter4_Section1.mp3,82.94,87.78
439,家と駅の中間に、おしゃれなカフェがある。,家和车站途中有个很时尚的咖啡店。,res://assets/sounds/Chapter4_Section1.mp3,90.18,95.19
440,隣の町との境に川が流れている。,和邻街的城市之间流淌着一条河。,res://assets/sounds/Chapter4_Section1.mp3,97.39,102.31
441,郵便局の斜め前に新しいコンビニができた。,邮局的斜前方新开了一家便利店。,res://assets/sounds/Chapter4_Section1.mp3,105.66,111.07
442,商店街の抽選で温泉旅行が当たった。,商店街的抽奖抽中了温泉旅行。,res://assets/sounds/Chapter4_Section1.mp3,113.43,118.6
443,地震のときは、近くの公園に避難する。,地震的时候去附近的公园避难。,res://assets/sounds/Chapter4_Section1.mp3,120.62,125.63
444,この町では一年に一回、避難訓練を行う。,这个镇上一年一次会举行避难演习。,res://assets/sounds/Chapter4_Section1.mp3,127.92,133.64
445,毎晩パトカーが住宅地を見回っている。,每天晚上警车都会在住宅区巡逻。,res://assets/sounds/Chapter4_Section1.mp3,136.12,140.99
446,ここでは住民同士がいい関係を築いている。,这里的居民们建立着良好的关系。,res://assets/sounds/Chapter4_Section1.mp3,143.06,148.71
447,この町が 20 年後にどうなっているか、見当がつかない。,这个街道 20 年后会怎么样也推断不出来。,res://assets/sounds/Chapter4_Section1.mp3,151.05,157.47
448,近所で何軒かの家が壁に落書きされた。,附近有几栋房子上都被涂鸦了。,res://assets/sounds/Chapter4_Section1.mp3,159.66,165.01
449,最近犯罪が多いので、住民が見回りを強化している。,最近犯罪很多，居民们强化巡视监督。,res://assets/sounds/Chapter4_Section1.mp3,167.05,173.6
450,日本には都道府県、市町村などの自治体がある。,日本有都道府县、市镇村等自治团体。,res://assets/sounds/Chapter4_Section2.mp3,2,8.43
451,新しい知事が福祉を充実させた。,新任知事进一步完善了社会福利。,res://assets/sounds/Chapter4_Section2.mp3,10.53,15.06
452,今度の知事は住民の期待に応えるだろう。,这次的知事会响应居民们的期待吗？,res://assets/sounds/Chapter4_Section2.mp3,17.19,22.14
453,新しい施設ができて、住民の生活が変わった。,新设施建成后，居民们的生活发生了变化。,res://assets/sounds/Chapter4_Section2.mp3,24.59,30.16
454,図書館でカードを作る際は、身分証明書が必要だ。,图书馆办卡时，需要身份证。,res://assets/sounds/Chapter4_Section2.mp3,33.04,39.09
455,ここに生年月日を書いてください。,请在此写上出生日期。,res://assets/sounds/Chapter4_Section2.mp3,41.61,45.6
456,こちらに、ご署名をお願いいたします。,请在此签名。,res://assets/sounds/Chapter4_Section2.mp3,47.88,52.22
457,住所が間違っているので、修正してください。,地址写错了，请修改一下。,res://assets/sounds/Chapter4_Section2.mp3,54.67,59.5
458,国民は国に年金保険料を納めている。,国民向国家缴纳养老金。,res://assets/sounds/Chapter4_Section2.mp3,61.96,67.59
459,市の新しい施設が、もうすぐできる。,市内新的设施马上就建成了。,res://assets/sounds/Chapter4_Section2.mp3,69.7,74.36
460,市のプールには無料で使えるロッカーがある。,市里的泳池有可以免费使用的锁柜。,res://assets/sounds/Chapter4_Section2.mp3,76.66,81.65
461,5年後に新しい区役所の建築が予定されている。,5年后将建筑新区政府。,res://assets/sounds/Chapter4_Section2.mp3,84.02,90.12
462,市民ホールがリニューアルされた。,市民活动中心被翻新了。,res://assets/sounds/Chapter4_Section2.mp3,92.58,96.43
463,ここは危ないので、子どもを近づけないでください。,这里很危险，不要让孩子靠近。,res://assets/sounds/Chapter4_Section2.mp3,98.76,103.89
464,この町は福祉が充実している。,这个镇上的福利很完备。,res://assets/sounds/Chapter4_Section2.mp3,105.99,110.05
465,4月から新しい年度が始まる。,4月是新年度的开始。,res://assets/sounds/Chapter4_Section2.mp3,112.1,116.22
466,市役所の福祉の担当者が交替した。,市政府的福祉负责人换了。,res://assets/sounds/Chapter4_Section2.mp3,118.52,123.08
467,ごみ収集のルールを町のホームページで調べる。,在街区的官网上查垃圾回收的规则。,res://assets/sounds/Chapter4_Section2.mp3,125.5,130.77
468,区役所はごみ出しのルールのパンフレットを配布している。,区政府在配发倒垃圾规则的小册子。,res://assets/sounds/Chapter4_Section2.mp3,133.13,138.99
469,自治体がこの地域のごみを処理している。,自治团体处理这个地区的垃圾。,res://assets/sounds/Chapter4_Section2.mp3,140.94,146.03
470,自治体は老人ホームの需要に応えられない。,自治团体的养老院供不应求。,res://assets/sounds/Chapter4_Section2.mp3,148.23,153.58
471,市役所は生活に必要な情報を提供している。,政府机关提供生活必需的信息。,res://assets/sounds/Chapter4_Section2.mp3,155.92,161.55
472,市役所では用途のわからない支出は認められない。,政府机关不承认不明用途的支出。,res://assets/sounds/Chapter4_Section2.mp3,163.96,169.12
473,故郷の母から荷物が届いた。,老家母亲寄来的东西收到了。,res://assets/sounds/Chapter4_Section3.mp3,1.71,5.94
474,帰省して、地元の友達と会うのが楽しみだ。,回老家时能跟本地的朋友们见面很令人期待。,res://assets/sounds/Chapter4_Section3.mp3,8.17,13.22
475,食料品は地元のスーパーで買う。,食材放在家附近的超市买。,res://assets/sounds/Chapter4_Section3.mp3,13.22,17.99
476,ふるさとを離れて、もう 10 年になる。,离开家乡已经快 10 年了。,res://assets/sounds/Chapter4_Section3.mp3,20.09,24.38
477,駅と商店街は、かなり離れている。,车站和商店街离得挺远的。,res://assets/sounds/Chapter4_Section3.mp3,24.38,28.72
478,日本でチャンスをつかんで、親に家を買いたい。,想在日本抓住机会给父母买房子。,res://assets/sounds/Chapter4_Section3.mp3,30.93,35.98
479,バスで隣にいた赤ちゃんが、私の腕をつかんだ。,在公共汽车上旁边的宝宝抓住了我的手臂。,res://assets/sounds/Chapter4_Section3.mp3,35.98,41.59
480,夏休みと年末の年 2 回は帰省する。,暑假和年末回两次老家。,res://assets/sounds/Chapter4_Section3.mp3,43.82,49.01
481,この地域は東京からのアクセスが悪い。,这个地区到东京的交通不方便。,res://assets/sounds/Chapter4_Section3.mp3,51.24,55.96
482,市のホームページにアクセスする。,访问市里的主页。,res://assets/sounds/Chapter4_Section3.mp3,55.96,59.42
483,子どもやお年寄りのために、町の交通が改善された。,为了儿童和老年人，城镇交通改善了。,res://assets/sounds/Chapter4_Section3.mp3,61.55,67.52
484,私の国には、いろいろな行事がある。,我国有很多传统活动。,res://assets/sounds/Chapter4_Section3.mp3,69.61,74.04
485,この地方の祭りははるか昔から続いている。,这个地方的祭奠活动从很久以前就一直延续至今。,res://assets/sounds/Chapter4_Section3.mp3,77.25,82.74
486,自分のふるさとを誇りに思っている。,为自己的故乡感到荣耀。,res://assets/sounds/Chapter4_Section3.mp3,84.87,89.18
487,新聞に私の国の記事が載っていて、うれしかった。,报纸上刊载了我们国家的报道，很高兴。,res://assets/sounds/Chapter4_Section3.mp3,91.05,97.1
488,ふるさとの良さを、もっと宣伝したい。,想更多地宣传家乡之优秀。,res://assets/sounds/Chapter4_Section3.mp3,99.34,103.52
489,国の文化を紹介するポスターを作成した。,制作介绍国家文件的海报,res://assets/sounds/Chapter4_Section3.mp3,105.9,110.77
490,国に帰ると、見慣れた景色が変わっていた。,"回国后, 原本看惯了的景色都改变了.",res://assets/sounds/Chapter4_Section3.mp3,113,118.12
491,実家は東京の近郊にある。,娘家在东京近郊。,res://assets/sounds/Chapter4_Section3.mp3,120.47,124.69
492,国で日本の留学生活を夢に描いていた。,我在祖国时一直描绘着日本的留学生活之梦。,res://assets/sounds/Chapter4_Section3.mp3,126.84,132.45
493,妹が故郷の風景を描いて、送ってくれた。,妹妹画了家乡的风景，寄给了我。,res://assets/sounds/Chapter4_Section3.mp3,132.45,138.12
494,私の故郷では若者が減少している。,我的家乡年轻人越来越少了。,res://assets/sounds/Chapter4_Section3.mp3,140.3,145.3
495,大学を卒業して、Uターン就職した。,大学毕业后我回老家工作了。,res://assets/sounds/Chapter4_Section3.mp3,147.47,152.39
496,渋滞だ。次の角でUターンしよう。,堵车啊。在下一个路口调个头。,res://assets/sounds/Chapter4_Section3.mp3,152.39,157.03
497,月に数回、故郷と東京を行き来している。,每个月好几次往返于老家和东京。,res://assets/sounds/Chapter4_Section3.mp3,159.24,164.88
498,国の将来を担うために、日本に留学した。,为了肩负祖国的未来，来日本留学了。,res://assets/sounds/Chapter4_Section3.mp3,166.78,171.81
141,このアパートは学生の一人住まいが多い。,这个公寓里有很多一个人住的学生。,res://assets/sounds/Chapter2_Section1.mp3,2.13,7.16
142,ホームで電車の行き先を確認する。,在站台上确认了电车的目的地。,res://assets/sounds/Chapter4_Section4.mp3,1.87,6.19
499,東京方面の電車が止まっているそうだ。,开往东京方向的电车好像都不动了。,res://assets/sounds/Chapter4_Section4.mp3,8.34,13.16
500,学校への行き帰りはバスを利用している。,上学放学都坐公共汽车。,res://assets/sounds/Chapter4_Section4.mp3,15.47,20.33
501,車が行き来する道を横断するときは注意しよう。,横穿车辆来往的道路时要注意安全。,res://assets/sounds/Chapter4_Section4.mp3,22.53,28.29
502,この道は車は通行できない。,这条路车辆不能通行。,res://assets/sounds/Chapter4_Section4.mp3,30.47,34.75
503,歩行者がトラックにひかれた。,行人被卡车轧了。,res://assets/sounds/Chapter4_Section4.mp3,36.95,40.66
504,この道路は絶えず車が通っている。,这条马路不断有车通过。,res://assets/sounds/Chapter4_Section4.mp3,42.73,47.22
505,ここへ行くには、どの交通手段が一番早いですか。,去这里什么交通方式最快呢？,res://assets/sounds/Chapter4_Section4.mp3,49.29,55.36
506,バスも電車も公共の交通手段だ。,公共汽车和电车都是公共交通工具。,res://assets/sounds/Chapter4_Section4.mp3,57.58,62.22
507,日本は物だけでなく、運賃も高い。,日本不仅东西贵，车费也很贵。,res://assets/sounds/Chapter4_Section4.mp3,64.4,69.26
508,電車がゆれるので、つり革につかまった。,电车很晃，抓紧了吊环。,res://assets/sounds/Chapter4_Section4.mp3,71.42,76.13
509,駅のアナウンスで事故を知った。,通过车站广播知道发生了事故。,res://assets/sounds/Chapter4_Section4.mp3,78.47,82.44
510,今、電車が運転を見合わせている。,现在电车暂停运行中。,res://assets/sounds/Chapter4_Section4.mp3,84.7,89.38
511,電車の到着時間がかなり乱れている。,电车的到达时间非常紊乱。,res://assets/sounds/Chapter4_Section4.mp3,91.51,96.25
512,最近、若者の日本語が乱れてきた。,最近年轻人的日语乱七八糟的。,res://assets/sounds/Chapter4_Section4.mp3,96.25,100.93
513,しばらくして、運転が再開された。,稍微过了一会恢复运营。,res://assets/sounds/Chapter4_Section4.mp3,103.05,107.32
514,電車でもバスでもICカードが便利だ。,坐电车也好公共汽车也好，用交通卡很方便。,res://assets/sounds/Chapter4_Section4.mp3,109.79,114.44
515,二十歳で車の運転免許を取った。,20岁时拿到了驾照。,res://assets/sounds/Chapter4_Section4.mp3,116.64,121.05
516,自転車に乗ったら、左右をしっかり見て、交差点を曲がる。,骑着自行车要看清左右以后再过十字路口。,res://assets/sounds/Chapter4_Section4.mp3,123.14,129.41
517,直線の道では車がスピードを出しがちだ。,直行路上车辆很容易提高速度。,res://assets/sounds/Chapter4_Section4.mp3,131.72,137.05
518,事故現場はなだらかなカーブだった。,事故现场是个大弯道。,res://assets/sounds/Chapter4_Section4.mp3,139.33,143.6
519,高速道路では前の車と間隔をあけて走る。,高速公路上和前方车辆保持距离行驶。,res://assets/sounds/Chapter4_Section4.mp3,145.81,151.88
520,今日は渋滞もなく、車はスムーズに進んでいる。,今天没有堵车，驾驶很顺畅。,res://assets/sounds/Chapter4_Section4.mp3,154.18,159.96
521,スピードメーターの針が120キロを指している。,计速器的指针指着120公里。,res://assets/sounds/Chapter4_Section4.mp3,161.9,167.26
522,前の車がのろのろ走っている。,前面的车开得慢吞吞的。,res://assets/sounds/Chapter4_Section4.mp3,171.54,176.19
523,道に迷って、同じ道をぐるぐる回った。,迷路了，在同一条路上转来转去。,res://assets/sounds/Chapter4_Section4.mp3,180.32,185.71
524,高速道路でパンクしてしまった。,在高速公路上爆胎了。,res://assets/sounds/Chapter4_Section4.mp3,187.85,192.04
525,車は慎重に運転するべきだ。,应该谨慎小心地开车。,res://assets/sounds/Chapter4_Section4.mp3,194.48,198.51
526,道がすいていても、気を抜いてはいけない。,就算道路很空也不能疏忽大意。,res://assets/sounds/Chapter4_Section4.mp3,200.71,205.33
527,私の田舎では米の生産が盛んだ。,我们农村盛产大米。,res://assets/sounds/Chapter4_Section5.mp3,2,6.9
528,需要と供給のバランスは重要だ。,需求与供给的平衡很重要。,res://assets/sounds/Chapter4_Section5.mp3,9.08,13.22
529,この地域では、いちごを栽培している。,这个地区栽培草莓。,res://assets/sounds/Chapter4_Section5.mp3,15.35,20.14
530,野菜は知り合いの農家から直接買っている。,蔬菜是从认识的农家那里直接买来的。,res://assets/sounds/Chapter4_Section5.mp3,22.17,27.32
531,農家の人達は愛情を込めて作物を育てている。,农家的农民们倾注心血培植作物。,res://assets/sounds/Chapter4_Section5.mp3,29.66,36.07
532,父は漁業で一家を支えている。,父亲靠渔业养着我们一家子。,res://assets/sounds/Chapter4_Section5.mp3,37.69,42
533,この島は漁業で栄えている。,这个岛的渔业很兴盛。,res://assets/sounds/Chapter4_Section5.mp3,44.24,48.32
534,コンピューターの普及で、IT 産業は成長した。,因电脑的普及 IT 产业日益成长。,res://assets/sounds/Chapter4_Section5.mp3,50.4,55.92
535,この辺りは最近観光客が急増している。,这一带最近观光游客急剧増加。,res://assets/sounds/Chapter4_Section5.mp3,58.03,63.8
536,この町は情緒があるので、観光客が多く訪れる。,这个城镇别有风情观光客蜂拥而至。,res://assets/sounds/Chapter4_Section5.mp3,65.78,71.62
537,新しい技術で、この工場の生産性が向上した。,新技术提高了这家工厂的生产力。,res://assets/sounds/Chapter4_Section5.mp3,73.96,79.9
538,地元の商品を開発するため、チームが構成された。,为开发当地商品，组织了特别小组。,res://assets/sounds/Chapter4_Section5.mp3,82.23,88.14
539,A 国では観光やサービス産業を重視している。,A 国很重视观光和服务产业。,res://assets/sounds/Chapter4_Section5.mp3,90.15,95.91
540,地元の産業を生かした商品を提案する。,提出活用本地产业的商品的提案。,res://assets/sounds/Chapter4_Section5.mp3,98,102.96
541,私の会社では新しい工場の建設を検討している。,我们公司在讨论新工厂的建设。,res://assets/sounds/Chapter4_Section5.mp3,105.2,111.5
542,この国には新しい産業が不可欠だ。,这个国家不能缺少新兴产业。,res://assets/sounds/Chapter4_Section5.mp3,113.75,118.6
543,古いルールが新しい産業の発展を妨げている。,旧规定限制新兴产业的发展。,res://assets/sounds/Chapter4_Section5.mp3,121.07,126.95
544,春になって、畑に雑草が生えてきた。,春天到，田里的杂草都长出来了。,res://assets/sounds/Chapter4_Section5.mp3,128.86,133.82
545,1960年代の頃から機械工業が著しく進歩した。,1960年代左右开始机械工业有了显著的进步。,res://assets/sounds/Chapter4_Section5.mp3,136.38,143.82
546,このロボットは人間や動物の動きを参考にしている。,这个机器人的制作参考了人和动物的动作。,res://assets/sounds/Chapter4_Section5.mp3,146.23,152.35
547,農業には常に自然災害というリスクがある。,农业永远都存在自然灾害这个风险。,res://assets/sounds/Chapter4_Section5.mp3,154.47,160.15
548,A社は現地を調査して、新しい工場を建てた。,A公司调查了现场建了一个新工厂。,res://assets/sounds/Chapter4_Section5.mp3,162.32,168.33
549,この学校で日本語だけでなく文化や習慣も教わった。,在这所学校除了日语以外也学到了文化风俗。,res://assets/sounds/Chapter5_Section1.mp3,2,8.944
550,大学の願書を締め切りまでに提出する。,在截止日前提交大学志愿书。,res://assets/sounds/Chapter5_Section1.mp3,11.26,16.11
551,高校から大学に推薦してもらえることになった。,我被高中推荐给了大学。,res://assets/sounds/Chapter5_Section1.mp3,18.33,23.87
552,彼は有名な私立大学を狙っている。,他以有名的私立大学为目标。,res://assets/sounds/Chapter5_Section1.mp3,25.99,30.98
553,弟は強い意志で留学を決めた。,弟弟下定决心决定去留学。,res://assets/sounds/Chapter5_Section1.mp3,32.95,37.89
554,この学校は９時に授業を開始する。,这所学校从9点开始上课。,res://assets/sounds/Chapter5_Section1.mp3,40.04,44.86
555,学校は通常、土日と祝日が休みだ。,学校通常都是双休日和节假日放假。,res://assets/sounds/Chapter5_Section1.mp3,47.11,52.86
556,私のクラスの担任は小林先生だ。,我们的班主任是小林老师。,res://assets/sounds/Chapter5_Section1.mp3,54.87,59.87
557,田中先生は上級クラスを受け持っている。,田中老师负责高级班。,res://assets/sounds/Chapter5_Section1.mp3,62.02,67.11
558,今年はクラス委員になった。,今年当上了班委。,res://assets/sounds/Chapter5_Section1.mp3,69.27,72.88
559,学校生活に、やっとなじんできた。,终于习惯了校园生活。,res://assets/sounds/Chapter5_Section1.mp3,74.9,79.55
560,日本に留学して以来、毎日が充実している。,来日本留学以来，每天都很充实。,res://assets/sounds/Chapter5_Section1.mp3,81.69,87.5
561,日本で高等な技術を学びたい。,我想在日本学习高等技术。,res://assets/sounds/Chapter5_Section1.mp3,91.29,95.99
562,進学は夢へのステップだ。,升学是接近梦想的一个台阶。,res://assets/sounds/Chapter5_Section1.mp3,98.16,102
563,バスのステップが低いと、高齢者が乗りやすい。,公共汽车的台阶很低，便于老年人乘坐。,res://assets/sounds/Chapter5_Section1.mp3,102,107.22
564,仕事の過程を上司に報告する。,向上级汇报工作的过程。,res://assets/sounds/Chapter5_Section1.mp3,109.37,114.05
565,授業で日本の若者文化を取り上げた。,课堂上采用了日本年轻人文化。,res://assets/sounds/Chapter5_Section1.mp3,116.42,121.24
566,子どもからゲームを取り上げた。,没收了孩子的游戏。,res://assets/sounds/Chapter5_Section1.mp3,121.24,125.19
567,彼が欠けたら、大会に出られない。,缺了他参加不了大会。,res://assets/sounds/Chapter5_Section1.mp3,127.28,131.49
568,固いものを食べたら、歯が欠けた。,吃了硬的东西磕掉了牙。,res://assets/sounds/Chapter5_Section1.mp3,131.49,135.44
569,無断で休むなんて、常識に欠ける。,无故旷工真是没有常识。,res://assets/sounds/Chapter5_Section1.mp3,135.44,139.97
570,このクラスには優秀な学生が多い。,这个班有很多优秀的学生。,res://assets/sounds/Chapter5_Section1.mp3,142.22,147.07
571,3月で日本語学校を修了する。,在3月结束语言学校的课程。,res://assets/sounds/Chapter5_Section1.mp3,149.36,153.91
572,卒業式にふさわしい服装で出席する。,穿着合适的服装出席毕业典礼。,res://assets/sounds/Chapter5_Section1.mp3,156.18,161.09
573,学校では規則を守るように生徒に認識させる。,学校让学生们认识到要遵守规定。,res://assets/sounds/Chapter5_Section1.mp3,163.38,149.45
574,東京の語学学校で勉強している。,在东京的语言学校学习。,res://assets/sounds/Chapter5_Section1.mp3,172.04,176.46
575,日本で日本語と文化を学びたい。,想在日本学习日语和文化。,res://assets/sounds/Chapter5_Section2.mp3,1.83,6.39
576,一日の学習時間は８時間くらいだ。,一天的学习时间大概８小时左右。,res://assets/sounds/Chapter5_Section2.mp3,8.68,13.6
577,大学に進学できる学力をつけたい。,想具备能考上大学的学习能力。,res://assets/sounds/Chapter5_Section2.mp3,16.03,20.5
578,人には教養が必要だ。,人要有教养。,res://assets/sounds/Chapter5_Section2.mp3,22.92,26.31
579,どの参考書がいいか、先生に教えていただいた。,向老师请教哪本参考书好。,res://assets/sounds/Chapter5_Section2.mp3,28.79,34.4
580,教科書に授業のメモを書き込む。,在教科书上写上课堂记。,res://assets/sounds/Chapter5_Section2.mp3,36.68,41.11
581,会話問題を聞いて書き取る。,听对话问题记录下来。,res://assets/sounds/Chapter5_Section2.mp3,43.3,47.24
582,記号の「※」は「こめじるし」と読む。,符号“※”读作“こめじるし”。,res://assets/sounds/Chapter5_Section2.mp3,49.38,54.48
583,遠藤先生は絵と図で、わかりやすく説明する。,近藤老师用图片图表简单易懂地说明。,res://assets/sounds/Chapter5_Section2.mp3,56.31,62.46
584,教科書のキーワードに下線を引く。,在教科书上的关键词下面划线。,res://assets/sounds/Chapter5_Section2.mp3,64.49,68.75
585,インターネットで引力の法則について調べる。,在网上查引力法则。,res://assets/sounds/Chapter5_Section2.mp3,70.95,76.45
586,学者を志して、努力を続ける。,立志于成为学者不断努力。,res://assets/sounds/Chapter5_Section2.mp3,79.01,83.48
587,昨日徹夜したので、今日はとても眠い。,昨天熬夜了，今天非常困。,res://assets/sounds/Chapter5_Section2.mp3,85.69,90.85
588,半年で会話力が、かなり上達した。,才半年会话能力有了很大的提高。,res://assets/sounds/Chapter5_Section2.mp3,93.1,97.87
589,毎日こつこつと勉強を続けている。,每天刻苦学习。,res://assets/sounds/Chapter5_Section2.mp3,101.95,106.62
590,靴の音がこつこつと響く。,皮靴声咯噔作响。,res://assets/sounds/Chapter5_Section2.mp3,106.62,110.56
591,毎日、地道に日本語を勉強している。,每天踏踏实实地学习日语。,res://assets/sounds/Chapter5_Section2.mp3,112.77,117.72
592,単語は根気よく覚えよう。,要耐心地背单词。,res://assets/sounds/Chapter5_Section2.mp3,120.17,123.8
593,時間を上手に使って、効率的に勉強する。,活用时间高效学习。,res://assets/sounds/Chapter5_Section2.mp3,126.6,132.12
594,好奇心旺盛に新しいことを学ぶ。,怀着很强的好奇心学习新的东西。,res://assets/sounds/Chapter5_Section2.mp3,134.54,139.4
595,日本語の基礎を、しっかり学びたい。,想扎扎实实地打好日语基础。,res://assets/sounds/Chapter5_Section2.mp3,141.4,145.74
596,文法の基本を学んでから、会話を勉強する。,学完语法的基本知识以后学习对话。,res://assets/sounds/Chapter5_Section2.mp3,147.87,153.29
597,漢字を除けば、日本語の勉強は特に難しくない。,除了汉字以外，学日语不是特别难。,res://assets/sounds/Chapter5_Section2.mp3,155.3,161.46
598,先生に、現状では希望の大学は難しいと言われた。,老师说按现状来看，考上志愿大学挺难的。,res://assets/sounds/Chapter5_Section2.mp3,163.73,170.29
599,学生は勉強をおろそかにしてはいけない。,学生不能很马虎地学习。,res://assets/sounds/Chapter5_Section2.mp3,172.45,177.48
600,努力すれば、不可能が可能になる。,只要努力，不可能会变成可能。,res://assets/sounds/Chapter5_Section2.mp3,180.95,185.3
601,頑張れば、何だって可能だ。,只要加油，任何事都是可能的。,res://assets/sounds/Chapter5_Section2.mp3,185.3,189.06
602,夢を実現するためには努力が必要だ。,为实现梦想努力是必须的。,res://assets/sounds/Chapter5_Section2.mp3,191.25,196.39
603,似ている副詞は混同しやすい。,相似的副词容易混淆。,res://assets/sounds/Chapter5_Section2.mp3,198.69,202.79
604,日本語の名詞には単数形も複数形もない。,日语的名词没有单数形式和复数形式。,res://assets/sounds/Chapter5_Section2.mp3,205.02,210.8
605,言葉を調べるときは、スマホを活用している。,查单词的时候，活用智能手机。,res://assets/sounds/Chapter5_Section2.mp3,213.23,218.52
606,今年、N２の試験に挑戦することにした。,今年挑战了N2考试。,res://assets/sounds/Chapter5_Section3.mp3,2,7.22
607,次の試験の範囲は広い。,下次考试的范围很广。,res://assets/sounds/Chapter5_Section3.mp3,9.21,12.87
608,文法の問題には、いろいろなパターンがある。,文法题目有很多形式。,res://assets/sounds/Chapter5_Section3.mp3,14.97,19.8
609,試験前にあらゆるパターンの問題をやってみた。,考试前把所有形式的问题都试着做了。,res://assets/sounds/Chapter5_Section3.mp3,21.9,27.13
610,小論文の課題は地球温暖化についてだった。,小论文的主题是关于温室效应的。,res://assets/sounds/Chapter5_Section3.mp3,29.2,34.43
611,日本には改善すべき課題が多くある。,日本有很多需要改善的课题。,res://assets/sounds/Chapter5_Section3.mp3,34.43,39.57
612,最後の段落に重要なことが書かれている。,最后一段写着很重要的内容。,res://assets/sounds/Chapter5_Section3.mp3,41.77,46.88
613,問題に訂正箇所があった。,问题中有修改的部分。,res://assets/sounds/Chapter5_Section3.mp3,48.84,52.63
614,問題と解答、２種類の用紙が記られた。,会发问题和答案两种不同的用纸。,res://assets/sounds/Chapter5_Section3.mp3,54.87,60.23
